id,date,text
Steven Johnson,2021-06-25 16:15:20,"RT @TimHarford: Why do we choose treatments that don't work?
The strange allure of snake oil remedies (literal and metaphorical). I had lot…"
Steven Johnson,2021-06-23 05:12:55,RT @cdespinosa: Thirty years ago today. I think we have the answer now https://t.co/u9mArHsQWN
Patrick LaForge,2021-06-27 00:53:13,Fight and Flight: T.S.A. to Resume Self-Defense Classes for Airline Crews https://t.co/Y0qb8UKi3a
Patrick LaForge,2021-06-27 00:52:24,"5 Dead in Hot-Air Balloon Crash in New Mexico, Police Say https://t.co/8osv3AMJjA"
The New York Times,2021-06-27 13:47:24,"RT @christophclarey: Serena Williams, four-time gold medalist, indicated Sunday that she will not take part in the Tokyo Olympics next mont…"
The New York Times,2021-06-27 13:45:05,"Saturday evening, search and rescue workers at the site of the deadly collapse of a condominium building in Surfsid… https://t.co/G6yjKWalbT"
