,tweet_id,text,date,username,retweeted_status,retweet_count,likes,comments,comments_ids
1447051071113867267,1447051071113867267,"Imagine a world without $SHIB.

You can't because it's too painful a thought to bare.

Few understand this.",2021-10-10 04:07:14+00:00,leadlagreport,True,71,256,"{'1447102543692107779': {'tweet_id': '1447051071113867267', 'text': '@leadlagreport https://t.co/mnE68y1r1i', 'date': '2021-10-10 07:31:46+00:00', 'username': 'ShiBNeverDie1', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1447099081864761346': {'tweet_id': '1447051071113867267', 'text': '@leadlagreport Bear', 'date': '2021-10-10 07:18:01+00:00', 'username': 'HartmanPharr', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 2}","['1447102543692107779', '1447099081864761346']"
1447011658317156354,1447011658317156354,Exquisite. https://t.co/7Q19rJ8Atv,2021-10-10 01:30:38+00:00,leadlagreport,True,1,35,{'number of replies found': 0},[]
1447011544697606144,1447011544697606144,@jdasovic2 Few.,2021-10-10 01:30:11+00:00,leadlagreport,False,0,1,{'number of replies found': 0},[]
1446989819461124096,1446989819461124096,Is the sky blue? https://t.co/SR2DZr1PrG,2021-10-10 00:03:51+00:00,leadlagreport,True,14,86,{'number of replies found': 0},[]
1446970992203546630,1446970992203546630,"Homes in Manhattan enjoyed their busiest third quarter in over 30 years. Compared to Q3 2020, the third quarter of… https://t.co/6CWjLx4Br0",2021-10-09 22:49:02+00:00,leadlagreport,True,1,16,{'number of replies found': 0},[]
1446961976014430208,1446961976014430208,"Gonna price my Lambo in Doge divided by Shib and make money.

Few understand this.",2021-10-09 22:13:12+00:00,leadlagreport,True,18,163,{'number of replies found': 0},[]
1446961785186172928,1446961785186172928,Exquisite. https://t.co/nQ773QUQ6o,2021-10-09 22:12:27+00:00,leadlagreport,True,34,167,{'number of replies found': 0},[]
1446961260797509634,1446961260797509634,@v19003 Few.,2021-10-09 22:10:22+00:00,leadlagreport,False,0,1,{'number of replies found': 0},[]
1446960987194675203,1446960987194675203,Few understand this. https://t.co/TARKKYBxIU,2021-10-09 22:09:17+00:00,leadlagreport,False,0,18,{'number of replies found': 0},[]
1446960818927587328,1446960818927587328,@wealthchanger1 Exquisite.,2021-10-09 22:08:37+00:00,leadlagreport,False,0,0,{'number of replies found': 0},[]
