,isComment,repliesTo,tweet_id,text,date,username,retweeted_status,retweet_count,likes
1445862103768649735,True,RobReffkin,1445514594760286213,@RobReffkin nothing to celebrate; your stock is in the shitter $COMP,2021-10-06 21:22:43+00:00,stockthathops,False,0,0
1445568778360655875,True,RobReffkin,1445514594760286213,@RobReffkin You all did an awesome job today. The format was engaging and the stories were very entertaining. Congr… https://t.co/qevCBvX1me,2021-10-06 01:57:08+00:00,alexstanton17,False,0,0
1446203155188961281,True,evanspiegel,1270721680399151104,@evanspiegel Give me my snap back,2021-10-07 19:57:56+00:00,Brandi_2x,False,0,0
