id,name,date,text,comments,retweet_count
1374360308467302400,Meltwater Social,2021-03-23 14:00:06+00:00,In this on-demand #webinar learn how transform your #contentmarketing using #socialmedia data to discover the theme… https://t.co/iTdIbSaE4M,[],0
1374084811271327754,Meltwater Social,2021-03-22 19:45:22+00:00,Leveraging #UGC in a post-COVID world: https://t.co/xkaXt3xxB6 https://t.co/0F9q42Dh95,[],0
1374056858378506241,Meltwater Social,2021-03-22 17:54:18+00:00,"RT @Meltwater: Social media managers, what's the first task you take care of in the a.m.? ☕️
Answer below, then check out how your day comp…",[],1
1374028101080903685,Meltwater Social,2021-03-22 16:00:02+00:00,ICYMI we are moving over to @Meltwater! Stay connected with us on Twitter by following @Meltwater. Tweet you there! https://t.co/APCGpiQXTc,[],0
1373995955586994179,Meltwater Social,2021-03-22 13:52:18+00:00,"RT @Meltwater: It's hard to see any positives of the pandemic, but the love &amp; support to nurses on #socialmedia has been a beacon of light.…",[],2
1373995277921759238,Meltwater Social,2021-03-22 13:49:36+00:00,"What makes a successful #social campaign? Is it all about getting likes &amp; follows for your content, or is there mor… https://t.co/bOfbX2buRC",[],0
1372941943307698176,Meltwater Social,2021-03-19 16:04:01+00:00,"#Socialmedia spending will rise by 62%, yet contributions to corporate performance are low. Wondering how you can i… https://t.co/Mr2CE2Flf6",[],0
1372905916622905345,Meltwater Social,2021-03-19 13:40:52+00:00,Starting March 24th we'll be sharing all things related to #socialmedia on that account 👇 or 👉 @Meltwater https://t.co/Kw9kFaRhk6,[],0
1445268189881896973,Calvin Lee,2021-10-05 06:02:42+00:00,🎥 Kevin Smith ‘Secret Stash’ Book Launch Q&amp;A. Thank you @CapriceFilms for the invite. 🤓🙏 https://t.co/u7QWHWLt2n,[],1
1444902217958391808,Calvin Lee,2021-10-04 05:48:28+00:00,"Nom! Nom!! 🍣🍱
Sunday Funday sushi dinner with mom and sis. #foodlover https://t.co/cipuDWOPqf",[],0
1444415946991423488,Calvin Lee,2021-10-02 21:36:12+00:00,"🍰 @Cheesecake - Lunch is served! Jambalaya Pasta with Strawberry Shortcake  a la mode. 🍝🍰
#foodlover https://t.co/HO5raiCINn",[],0
1443676969279787008,Calvin Lee,2021-09-30 20:39:46+00:00,@matthewhuggins @BayPhotoLab Thank you 🙏,[],0
1442718986081165314,Calvin Lee,2021-09-28 05:13:05+00:00,First time printing my photos! @BayPhotoLab did a great job. Looks like what I shot from my edits to print. One day… https://t.co/vYUKgFtxrs,[],1
1441957250227003398,Calvin Lee,2021-09-26 02:46:13+00:00,"Nom time! Ahi Tuna Burger with bread pudding a la mode. Yay! Dessert was on the house. 
🍔🐠🍰
#foodlover https://t.co/NmwAibVEgS",[],1
