id,date,text,retweet_count
Cyd Harrell,2021-10-06 15:38:07+00:00,"honestly, these algorithms are largely *terrible* at actual personalization - they amplify obviously related things… https://t.co/9EjflNLaLl",8
Cyd Harrell,2021-10-06 14:34:50+00:00,RT @ilCognoscentini: @JoyceCarolOates Ursula LeGuin on the singular ‘they’ https://t.co/gOrzb56WtA,2266
Cyd Harrell,2021-10-06 01:43:03+00:00,@hondanhon omg,0
Cyd Harrell,2021-10-05 23:50:16+00:00,@jainkiranc @aarieff WAIT. are you two working together now? this is powerful!,0
Cyd Harrell,2021-10-05 23:48:34+00:00,"@keithkurson interesting! there were many things I loved about the UI implementation of Inbox, but the biggest game… https://t.co/QPJ5yd7w3W",0
Cyd Harrell,2021-10-05 23:13:51+00:00,RT @Pinboard: There is an inverse relationship between severity and rarity. As services like AWS become better at containing imaginable fai…,16
Cyd Harrell,2021-10-05 23:02:59+00:00,RT @djbaskin: Just learning about these fake coyotes at SFO airport that help prevent aircrafts from hitting birds and small animals. They'…,113
Cyd Harrell,2021-10-05 22:53:19+00:00,"@keithkurson wait, is this similar to Inbox Pin &amp; Sweep?",0
Cyd Harrell,2021-10-05 22:52:31+00:00,"RT @allafarce: ""People who are doing good may not realize how big 50-70 bucks a week is.""",2
Cyd Harrell,2021-10-05 22:38:40+00:00,@polotek one of the best illustrations of the levels I've ever read is this (from almost 10 years ago now) - profil… https://t.co/UvLfQeNFEV,32
Cyd Harrell,2021-10-05 22:08:57+00:00,@dylanw but how do you even ownership it then. where is the proof,0
Cyd Harrell,2021-10-05 22:03:18+00:00,"@anthonygarvan nope, from my long ago corporate life",0
Cyd Harrell,2021-10-05 21:20:20+00:00,"RT @The_Maintainers: We are delighted to announce The Maintainers Movement Fellowship 2022, a year-long engagement to support researchers &amp;…",27
Cyd Harrell,2021-10-05 21:14:02+00:00,"if we had the public health system we should, this kind of service design would be everywhere https://t.co/oU81OQCUZW",2
Cyd Harrell,2021-10-05 20:58:42+00:00,RT @histoftech: Thinking a lot about the Ford pinto memo today.,26
Cyd Harrell,2021-10-05 20:11:50+00:00,"@cliffseal yes, I do those! I just followed you, can you DM me a little more information about what you're looking for?",0
Cyd Harrell,2021-10-05 20:09:51+00:00,"was reminded by today's discourse that you can actually get a non-algo feed on FB, here - went in there, unfollowed… https://t.co/vS44Em8OXq",0
Cyd Harrell,2021-10-05 19:52:24+00:00,RT @internetrebecca: watching the watchers = “sousveillance” h/t @kvnweb https://t.co/uKKHI3xBmQ,1
Cyd Harrell,2021-10-05 18:28:07+00:00,"@Klonick @jdp23 yeah, that tracks (I probably should have YIKESed the tweet that showed the poster itself)",0
Kim Goodwin,2021-10-07 19:07:56+00:00,"@ziv1lazar Interesting…and yet you give up the swipe-to-switch-tabs, which is too bad.",0
Kim Goodwin,2021-10-07 16:34:03+00:00,@vcastillo630 Also…how do you address “respect” when folks don’t have a shared understanding of it? Folks with priv… https://t.co/VlZ8AqzDVe,0
Kim Goodwin,2021-10-07 14:19:07+00:00,"@simonianson It could, but I think moving the URLs is fighting with years of training.",0
Kim Goodwin,2021-10-07 14:05:31+00:00,@simonianson I honestly don’t think they should. We are trained in this kind of visual hierarchy from the time we s… https://t.co/sWT8VYe5b5,0
Kim Goodwin,2021-10-07 13:13:22+00:00,"And sometimes it is still more motor work—e.g. because every site puts search at the top, so you’re still reaching… https://t.co/Spv1aUOQui",0
Kim Goodwin,2021-10-07 13:11:30+00:00,I’ve been using mobile Safari’s “url at the bottom” UI for about 3 weeks &amp; it is still tripping me up. It’s less mo… https://t.co/aaroWd97OA,2
Kim Goodwin,2021-10-07 12:56:07+00:00,"How seamless retail UX helps to destroy the planet. Depressing, but worth reading. https://t.co/UdcREh4NjO",4
Kim Goodwin,2021-10-07 12:30:02+00:00,RT @mulegirl: I'm doing a workshop today and in preparation recalled this gem I happened on last year while watching original Star Trek.…,19
Kim Goodwin,2021-10-07 01:23:18+00:00,@tiffani Nice to see some great news!,0
Kim Goodwin,2021-10-07 00:05:52+00:00,@lrb23 @cydharrell If you have to just call it “liquid” that is somehow not a good sign,0
Kim Goodwin,2021-10-06 20:07:13+00:00,@cydharrell And of *course* it’s canned asparagus 🤢,0
Kim Goodwin,2021-10-06 15:31:42+00:00,"When one of your team asks how to handle a sticky situation, it can feel efficient (&amp; maybe a little gratifying) to… https://t.co/XDpQGDTgsg",7
Kim Goodwin,2021-10-04 16:25:45+00:00,RT @vcastillo630: (1/6) @hmntycntrd is excited to present our first live-half day event (with American Sign Language Interpreters and CART…,28
Kim Goodwin,2021-10-04 15:08:14+00:00,@twinfrey Good one,0
Kim Goodwin,2021-10-04 12:58:55+00:00,"“We know you’re trying to accomplish a task with our app right now, but we’ve decided to log you out for no apparen… https://t.co/KNTAaoVsAs",2
Kim Goodwin,2021-09-30 16:53:23+00:00,"RT @PavelASamsonov: Engagement metrics: When you don't know why people use your product, but want to make up a metric to measure your PMs o…",15
Kim Goodwin,2021-09-29 16:45:59+00:00,@cydharrell My favorite was: don’t go outside with wet hair or you’ll catch a cold,0
Kim Goodwin,2021-09-29 14:54:52+00:00,"If you need to have a little fun online this week, @KatmaiNPS #fatbearweek is the best beauty contest ever. https://t.co/NqJnBeCly9",1
Kim Goodwin,2021-09-29 01:16:58+00:00,@wcmille The worst,0
Kim Goodwin,2021-09-28 12:13:36+00:00,"@charliestroble Yes…and everyone bears some responsibility for good communication, because nobody is perfect at it",0
Kim Goodwin,2021-09-27 16:49:46+00:00,"@wcmille That requires self-awareness, though",0
Kim Goodwin,2021-09-27 16:04:05+00:00,"@odannyboy At least Google Glass immediately marked someone as a privacy-invading weird nerd, so others could avoid them.",0
Kim Goodwin,2021-09-27 16:00:42+00:00,"Good thing to remember when managing up. Even if the opinion is a little off the mark, that exec often has a valid… https://t.co/7uy6qgSK2F",4
Kim Goodwin,2021-09-26 12:33:14+00:00,"RT @MindtheProduct: This Sunday rewind, we travel back to #mtpcon London in 2018 to hear from @kimgoodwin. Kim gets us thinking about the m…",2
Kim Goodwin,2021-09-25 23:05:06+00:00,@hondanhon @nickf No doubt I’ll find some use for it 😆,0
Kim Goodwin,2021-09-25 13:06:28+00:00,@ryaninteractive Seriously,0
Kim Goodwin,2021-09-25 04:32:02+00:00,@davidriecks Time machine,1
Kim Goodwin,2021-09-25 04:31:34+00:00,@ninavizz @miniver A fair take on its ancestry,0
Kim Goodwin,2021-09-25 04:31:07+00:00,@benbrignell Thankfully I saw this in a colleague’s AirBnB &amp; didn’t have to make the attempt 😆,0
Kim Goodwin,2021-09-25 04:28:47+00:00,@bryandavidk Love that film,0
Kim Goodwin,2021-09-25 04:27:08+00:00,@williampietri @alangmead Toe-operated controls?,0
Kim Goodwin,2021-09-25 00:16:03+00:00,"@nickf Wait, what?!",0
Kim Goodwin,2021-09-24 20:39:37+00:00,This one might need to go in the bad shower UX hall of fame. https://t.co/ijWaTyibjL,109
Kim Goodwin,2021-09-23 15:54:23+00:00,@elizaIO Only 33 ;-),0
Kim Goodwin,2021-09-22 19:20:36+00:00,@alextherrien Some cute little island off Cape Cod,0
